# time	 mass
# day	g
# %g	%g
80.1	2000
80.2	2000.09
80.3	2000.44
80.4	2001.09
80.5	2001.99
80.6	2002.98
80.7	2003.88
80.8	2004.54
80.9	2004.88
81	2004.98
81.1	2004.98
81.2	2005.07
81.3	2005.42
81.4	2006.07
81.5	2006.97
81.6	2007.97
81.7	2008.88
81.8	2009.54
81.9	2009.88
82	2009.98
82.1	2009.98
82.2	2010.07
82.3	2010.42
82.4	2011.08
82.5	2011.99
82.6	2012.99
82.7	2013.9
82.8	2014.56
82.9	2014.91
83	2015
83.1	2015
83.2	2015.1
83.3	2015.45
83.4	2016.11
83.5	2017.02
83.6	2018.03
83.7	2018.94
83.8	2019.6
83.9	2019.95
84	2020.05
84.1	2020.05
